file	percent	reads	taxon_id	taxon_name
R22.K	0.427838	30	107324	Viruses;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Solendovirus;Tobacco vein clearing virus;
R22.K	0.342270	24	173	Bacteria;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira interrogans;
R22.K	0.128351	9	2316143	Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Chaphamaparvovirus;Rodent chaphamaparvovirus 1;
R22.K	0.057045	4	1404	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Priestia;Priestia megaterium;
R22.K	0.042784	3	1115757	Bacteria;Cyanobacteria;NA;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;Leptolyngbya sp. BL0902;
R22.K	0.042784	3	2874213	Bacteria;Cyanobacteria;NA;Oscillatoriales;Microcoleaceae;Oxynema;Oxynema aestuarii;
R22.K	0.028523	2	33070	Bacteria;Cyanobacteria;NA;Thermostichales;Thermostichaceae;Thermostichus;Thermostichus lividus;
R22.K	0.028523	2	38062	Viruses;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Cavemovirus;Cassava vein mosaic virus;
R22.K	0.028523	2	108981	Bacteria;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter schindleri;
R22.K	0.028523	2	147317	Bacteria;Cyanobacteria;NA;Oscillatoriales;Microcoleaceae;Arthrospira;Arthrospira sp. PCC 9108;
R22.K	0.028523	2	373994	Bacteria;Cyanobacteria;NA;Nostocales;Rivulariaceae;Rivularia;Rivularia sp. PCC 7116;
R22.K	0.028523	2	482564	Bacteria;Cyanobacteria;NA;Oscillatoriales;Oscillatoriaceae;Oscillatoria;Oscillatoria nigro-viridis;
R22.K	0.028523	2	1888195	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus himalayensis;
R22.K	0.028523	2	1936021	Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermosulfuriphilus;Thermosulfuriphilus ammonigenes;
R22.K	0.028523	2	2169400	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;Gemmobacter aquarius;
R22.K	0.028523	2	2731377	Bacteria;Firmicutes;Clostridia;Eubacteriales;Proteinivoraceae;Alkalicella;Alkalicella caledoniensis;
R22.K	0.028523	2	2816950	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;Ottowia sp. 27C;
R22.K	0.014261	1	56	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;Sorangium cellulosum;
R22.K	0.014261	1	562	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;
R22.K	0.014261	1	571	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca;
R22.K	0.014261	1	585	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus vulgaris;
R22.K	0.014261	1	670	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio parahaemolyticus;
R22.K	0.014261	1	861	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium ulcerans;
R22.K	0.014261	1	1302	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii;
R22.K	0.014261	1	1328	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus anginosus;
R22.K	0.014261	1	1345	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ferus;
R22.K	0.014261	1	1491	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium botulinum;
R22.K	0.014261	1	1493	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium cellulovorans;
R22.K	0.014261	1	1610	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Loigolactobacillus;Loigolactobacillus coryniformis;
R22.K	0.014261	1	1623	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus ruminis;
R22.K	0.014261	1	2001	Bacteria;Actinobacteria;Actinomycetia;Streptosporangiales;Streptosporangiaceae;Streptosporangium;Streptosporangium roseum;
R22.K	0.014261	1	2350	Bacteria;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;Haliscomenobacter hydrossis;
R22.K	0.014261	1	10663	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Tequatrovirus;NA;
R22.K	0.014261	1	28454	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium multivorum;
R22.K	0.014261	1	28901	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;
R22.K	0.014261	1	29549	Bacteria;Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Rhodothermus;Rhodothermus marinus;
R22.K	0.014261	1	37330	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia nova;
R22.K	0.014261	1	42422	Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Halobacteroides;Halobacteroides halobius;
R22.K	0.014261	1	53409	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas coronafaciens;
R22.K	0.014261	1	54120	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;Methanolacinia petrolearia;
R22.K	0.014261	1	54299	Bacteria;Cyanobacteria;NA;Chroococcidiopsidales;Chroococcidiopsidaceae;Chroococcidiopsis;Chroococcidiopsis thermalis;
R22.K	0.014261	1	58346	Bacteria;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces platensis;
R22.K	0.014261	1	67296	Bacteria;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces finlayi;
R22.K	0.014261	1	82654	Bacteria;Cyanobacteria;NA;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena;Pseudanabaena sp. PCC 7367;
R22.K	0.014261	1	83816	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter ruminantium;
R22.K	0.014261	1	109790	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus jensenii;
R22.K	0.014261	1	111781	Bacteria;Cyanobacteria;NA;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;Leptolyngbya sp. PCC 7376;
R22.K	0.014261	1	133453	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;Caldilinea aerophila;
R22.K	0.014261	1	178899	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiales Family XVI. Incertae Sedis;Carboxydocella;Carboxydocella thermautotrophica;
R22.K	0.014261	1	195248	Bacteria;Cyanobacteria;NA;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus sp. PCC 8807;
R22.K	0.014261	1	195253	Bacteria;Cyanobacteria;NA;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus sp. PCC 6312;
R22.K	0.014261	1	208216	Bacteria;Proteobacteria;Alphaproteobacteria;Parvularculales;Parvularculaceae;Parvularcula;Parvularcula bermudensis;
