#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	R28.S	R28.L	R28.K	R27.S	R27.L	R27.K	R26.S	R26.L	R26.K	R22.S	R22.L	R22.K
UNKNOWN	-1	48026.0	32473.0	45253.0	34256.0	1299774.0	0	0	0	0	53181.0	0	13739.0
k__Bacteria	2	5766.0	1945.0	133157.0	0	10199.0	0	0	0	0	13409.0	0	0
k__Bacteria|p__Bacteroidetes	2|976	0	0	0	0	0	0	0	0	0	11962.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0	0	0	0	0	0	0	0	0	11962.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0	0	0	0	0	0	0	0	0	11962.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0	0	0	0	0	0	0	0	0	1602.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0	0	0	0	0	0	0	0	0	1602.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	0	0	0	0	0	0	0	0	0	1347.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2|976|200643|171549|815|816|821	0	0	0	0	0	0	0	0	0	255.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0	0	0	0	0	0	0	0	0	10360.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	0	0	0	0	0	0	0	0	0	10360.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	2|976|200643|171549|171552|838|165179	0	0	0	0	0	0	0	0	0	10360.0	0	0
k__Bacteria|p__Firmicutes	2|1239	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	2|1239|186801|186802|541000|216851	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	2|1239|186801|186802|541000|216851|853	0	0	0	0	0	0	0	0	0	557.0	0	0
k__Bacteria|p__Proteobacteria	2|1224	5766.0	1945.0	3511.0	0	10199.0	0	0	0	0	890.0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	5766.0	1945.0	3511.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2|1224|28211|356	5766.0	1945.0	3511.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae	2|1224|28211|356|772	5766.0	1945.0	3511.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella	2|1224|28211|356|772|773	5766.0	1945.0	3511.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_elizabethae	2|1224|28211|356|772|773|807	5766.0	1945.0	3511.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0	0	0	0	10199.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0	0	0	0	10199.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	2|1224|28216|80840|506	0	0	0	0	10199.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella	2|1224|28216|80840|506|517	0	0	0	0	10199.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_bronchiseptica	2|1224|28216|80840|506|517|518	0	0	0	0	4446.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_parapertussis	2|1224|28216|80840|506|517|519	0	0	0	0	1720.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_pertussis	2|1224|28216|80840|506|517|520	0	0	0	0	3505.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_pseudohinzii	2|1224|28216|80840|506|517|1331258	0	0	0	0	528.0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	0	0	0	0	0	0	890.0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0	0	0	0	0	0	0	0	0	890.0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	2|1224|1236|91347|1903411	0	0	0	0	0	0	0	0	0	890.0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia	2|1224|1236|91347|1903411|629	0	0	0	0	0	0	0	0	0	890.0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia_pestis	2|1224|1236|91347|1903411|629|632	0	0	0	0	0	0	0	0	0	890.0	0	0
k__Bacteria|p__Spirochaetes	2|203691	0	0	129646.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0	0	129646.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified	2|203691|203692|	0	0	129646.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae	2|203691|203692||170	0	0	129646.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae|g__Leptospira	2|203691|203692||170|171	0	0	129646.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae|g__Leptospira|s__Leptospira_borgpetersenii	2|203691|203692||170|171|174	0	0	3111.0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetia_unclassified|f__Leptospiraceae|g__Leptospira|s__Leptospira_interrogans	2|203691|203692||170|171|173	0	0	126535.0	0	0	0	0	0	0	0	0	0
k__Viruses	10239	0	74.0	11.0	153.0	0	0	0	0	0	376.0	0	7.0
k__Viruses|p__Viruses_unclassified	10239|	0	74.0	11.0	153.0	0	0	0	0	0	376.0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0	74.0	11.0	153.0	0	0	0	0	0	376.0	0	7.0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Caudovirales_unclassified	10239|||28883|	0	0	0	0	0	0	0	0	0	5.0	0	0
